,buy_and_hold,atr18_screen,s1_soft_ema12
2024-06-21 22:00:00,1.0431522292849673,10172.160478146918,9852.97093132412
2024-06-21 23:00:00,1.0429658911847282,10172.160478146918,9852.97093132412
2024-06-22 00:00:00,1.0415498191821253,10172.160478146918,9852.97093132412
2024-06-22 01:00:00,1.0429784112839589,10172.160478146918,9852.97093132412
2024-06-22 02:00:00,1.0455648686665981,10172.160478146918,9852.97093132412
2024-06-22 03:00:00,1.0459559185191942,10172.160478146918,9852.97093132412
2024-06-22 04:00:00,1.04655200532153,10172.160478146918,9852.97093132412
2024-06-22 05:00:00,1.047529223456292,10172.160478146918,9852.97093132412
2024-06-22 06:00:00,1.0476233680985596,10172.160478146918,9852.97093132412
2024-06-22 07:00:00,1.049086756320333,10172.160478146918,9852.97093132412
2024-06-22 08:00:00,1.045333165531484,10172.160478146918,9852.97093132412
2024-06-22 09:00:00,1.0459321791102631,10172.160478146918,9852.97093132412
2024-06-22 10:00:00,1.0456999881790752,10172.160478146918,9852.97093132412
2024-06-22 11:00:00,1.0449447172579487,10172.160478146918,9852.97093132412
2024-06-22 12:00:00,1.0454744637942306,10172.160478146918,9852.97093132412
2024-06-22 13:00:00,1.0452494272054602,10172.160478146918,9852.97093132412
2024-06-22 14:00:00,1.0453138162872182,10172.160478146918,9852.97093132412
2024-06-22 15:00:00,1.0456247049849994,10172.160478146918,9852.97093132412
2024-06-22 16:00:00,1.045855595126657,10172.160478146918,9852.97093132412
2024-06-22 17:00:00,1.0448001670213758,10172.160478146918,9852.97093132412
2024-06-22 18:00:00,1.0448723608403165,10172.160478146918,9852.97093132412
2024-06-22 19:00:00,1.0454284483645906,10172.160478146918,9852.97093132412
2024-06-22 20:00:00,1.0452492646067688,10172.160478146918,9852.97093132412
2024-06-22 21:00:00,1.0459973811854777,10172.160478146918,9852.97093132412
2024-06-22 22:00:00,1.0457663284451288,10172.160478146918,9852.97093132412
2024-06-22 23:00:00,1.0448918726832734,10172.160478146918,9852.97093132412
2024-06-23 00:00:00,1.0483783138223033,10172.160478146918,9852.97093132412
2024-06-23 01:00:00,1.048374411453712,10172.160478146918,9852.97093132412
2024-06-23 02:00:00,1.0488781421993847,10172.160478146918,9852.97093132412
2024-06-23 03:00:00,1.0473980063124064,10172.160478146918,9852.97093132412
2024-06-23 04:00:00,1.0467781801011395,10172.160478146918,9852.97093132412
2024-06-23 05:00:00,1.0468103746420185,10172.160478146918,9852.97093132412
2024-06-23 06:00:00,1.046916063791369,10172.160478146918,9852.97093132412
2024-06-23 07:00:00,1.0473838602262626,10172.160478146918,9852.97093132412
2024-06-23 08:00:00,1.047061264422707,10172.160478146918,9852.97093132412
2024-06-23 09:00:00,1.0474414201629856,10172.160478146918,9852.97093132412
2024-06-23 10:00:00,1.0456006403786857,10172.160478146918,9852.97093132412
2024-06-23 11:00:00,1.0461835566870257,10172.160478146918,9852.97093132412
2024-06-23 12:00:00,1.046745172566804,10172.160478146918,9852.97093132412
2024-06-23 13:00:00,1.0454736508007743,10172.160478146918,9852.97093132412
2024-06-23 14:00:00,1.0437536818441164,10172.160478146918,9857.044001663447
2024-06-23 15:00:00,1.042160052070605,10172.160478146918,9869.841134777966
2024-06-23 16:00:00,1.0394526212616324,10172.160478146918,9854.936658523115
2024-06-23 17:00:00,1.042589150016967,10172.160478146918,9855.567299872526
2024-06-23 18:00:00,1.0424524045175771,10172.160478146918,9852.66123929006
2024-06-23 19:00:00,1.043067027570722,10172.160478146918,9884.126145178428
2024-06-23 20:00:00,1.0364042209969868,10172.160478146918,9875.97833627276
2024-06-23 21:00:00,1.0381059789002183,10172.160478146918,9890.408343459148
2024-06-23 22:00:00,1.0350705865308771,10172.160478146918,9886.960591684901
2024-06-23 23:00:00,1.0277864903576537,10172.160478146918,9893.66837283779
2024-06-24 00:00:00,1.0256725447719561,10172.160478146918,9875.152202578996
2024-06-24 01:00:00,1.0295097112881377,10172.160478146918,9871.675967967021
2024-06-24 02:00:00,1.0224358552227757,10172.160478146918,9869.708854553171
2024-06-24 03:00:00,1.022127893301438,10172.160478146918,9866.254315765047
2024-06-24 04:00:00,1.021785948253617,10172.160478146918,9866.254315765047
2024-06-24 05:00:00,1.0132176476164414,10172.160478146918,9866.254315765047
2024-06-24 06:00:00,1.0146971331086545,10172.160478146918,9866.254315765047
2024-06-24 07:00:00,1.0155263864343262,10172.160478146918,9866.254315765047
2024-06-24 08:00:00,1.0199965496557704,10172.160478146918,9866.254315765047
2024-06-24 09:00:00,0.9983930371338013,10172.160478146918,9881.692224595821
2024-06-24 10:00:00,0.9945698541050723,10172.160478146918,9878.251767584818
2024-06-24 11:00:00,0.9965990857725981,10172.160478146918,9878.251767584818
2024-06-24 12:00:00,0.9953513034154993,10172.160478146918,9878.251767584818
2024-06-24 13:00:00,1.0011071344891174,10172.160478146918,9878.251767584818
2024-06-24 14:00:00,0.9967854238728374,10172.160478146918,9878.251767584818
2024-06-24 15:00:00,0.9893153147967573,10172.160478146918,9878.251767584818
2024-06-24 16:00:00,0.9783239684617074,10172.160478146918,9878.251767584818
2024-06-24 17:00:00,0.9795740272004847,10172.160478146918,9878.251767584818
2024-06-24 18:00:00,0.9822913765296268,10172.160478146918,9878.251767584818
2024-06-24 19:00:00,0.9643195057780258,10172.160478146918,9878.251767584818
2024-06-24 20:00:00,0.9676898514514616,10172.160478146918,9878.251767584818
2024-06-24 21:00:00,0.9775309746441975,10172.160478146918,9878.251767584818
2024-06-24 22:00:00,0.9763885562390663,10172.160478146918,9878.251767584818
2024-06-24 23:00:00,0.9803611674651076,10172.160478146918,9878.251767584818
2024-06-25 00:00:00,0.9822442229091475,10172.160478146918,9878.251767584818
2024-06-25 01:00:00,0.983592003461401,10172.160478146918,9878.251767584818
2024-06-25 02:00:00,0.9865839819801626,10172.160478146918,9878.251767584818
2024-06-25 03:00:00,0.99677209078015,10172.160478146918,9878.251767584818
2024-06-25 04:00:00,0.9978888185920546,10172.160478146918,9878.251767584818
2024-06-25 05:00:00,0.9922424164376871,10172.160478146918,9878.251767584818
2024-06-25 06:00:00,0.9941230329013574,10172.160478146918,9878.251767584818
2024-06-25 07:00:00,0.9867327597827097,10172.160478146918,9878.251767584818
2024-06-25 08:00:00,0.9895775864858375,10172.160478146918,9878.251767584818
2024-06-25 09:00:00,0.99946179833177,10172.160478146918,9878.251767584818
2024-06-25 10:00:00,0.9970091596720774,10172.160478146918,9878.251767584818
2024-06-25 11:00:00,0.9949030188235627,10172.160478146918,9878.251767584818
2024-06-25 12:00:00,0.9926407832313922,10172.160478146918,9878.251767584818
2024-06-25 13:00:00,0.9951039908060196,10172.160478146918,9878.251767584818
2024-06-25 14:00:00,1.0042654514690874,10172.160478146918,9878.251767584818
2024-06-25 15:00:00,1.0050225109758182,10172.160478146918,9878.251767584818
2024-06-25 16:00:00,0.9981935285395662,10172.160478146918,9878.251767584818
2024-06-25 17:00:00,0.9980541814611151,10172.160478146918,9878.251767584818
2024-06-25 18:00:00,1.0106986686906951,10172.160478146918,9878.251767584818
2024-06-25 19:00:00,1.0077128689222032,10172.160478146918,9878.251767584818
2024-06-25 20:00:00,1.0068762986554227,10172.160478146918,9878.251767584818
